;carat;cut;color;clarity;depth;table;price;x;y;z;Volume
10763;1.24;Premium;D;SI2;59.1;59.0;5969;7.03;6.98;4.14;203.147316
10764;1.2;Premium;F;VS1;62.3;58.0;8580;6.78;6.71;4.2;191.07396
10765;0.3;Ideal;G;IF;62.8;57.0;956;4.3;4.27;2.69;49.39108999999999
10766;1.51;Ideal;G;SI2;62.4;56.0;9234;7.29;7.25;4.54;239.95035
10767;0.41;Ideal;D;SI1;62.3;56.0;735;4.74;4.79;2.97;67.43266200000001
10768;0.71;Premium;E;SI2;59.0;60.0;2410;5.9;5.87;3.47;120.17651000000002
10769;0.3;Very Good;H;VVS1;62.2;58.0;684;4.26;4.29;2.66;48.612564
10770;0.36;Ideal;H;VS2;62.1;55.0;568;4.57;4.61;2.85;60.04294500000001
10771;0.51;Premium;E;VS2;61.0;60.0;1781;5.17;5.12;3.14;83.117056
10772;0.92;Good;E;SI1;63.3;57.0;3649;6.17;6.22;3.92;150.43940800000001
10773;1.26;Very Good;H;VS2;63.8;52.0;7567;6.89;6.84;4.38;206.41888799999998
10774;1.08;Very Good;G;SI2;60.3;58.0;4362;6.65;6.72;4.03;180.09264000000002
10775;1.5;Premium;H;SI1;61.8;60.0;10567;7.31;7.23;4.49;237.30233700000002
10776;0.57;Ideal;H;IF;62.2;56.0;2195;5.3;5.33;3.3;93.22169999999998
10777;0.41;Premium;G;VS2;60.9;61.0;1061;4.75;4.74;2.89;65.06835000000001
10778;1.2;Premium;H;SI1;58.9;60.0;6129;7.02;6.94;4.11;200.23426800000001
10779;2.05;Premium;I;SI2;62.0;58.0;9850;8.13;8.08;5.02;329.76580800000005
10780;0.44;Ideal;G;VVS1;62.0;54.0;1160;4.89;4.91;3.04;72.990096
10781;0.43;Ideal;F;SI1;61.6;57.0;1016;4.85;4.8;2.97;69.1416
10782;1.0;Good;H;SI2;63.8;57.0;3640;6.32;6.28;4.02;159.55219200000002
10783;0.31;Ideal;E;VS1;60.5;60.0;682;4.37;4.39;2.65;50.838395
10784;1.51;Premium;I;VS2;60.5;59.0;9682;7.44;7.41;4.49;247.53549600000002
10785;1.5;Premium;E;SI1;60.8;58.0;11795;7.36;7.32;4.46;240.28339200000002
10786;1.08;Very Good;G;VS2;62.0;57.0;6168;6.52;6.55;4.05;172.95929999999998
10787;0.34;Premium;E;VS2;60.9;60.0;956;4.51;4.49;2.74;55.484726
10788;0.52;Ideal;G;VVS2;62.3;55.0;2012;5.16;5.12;3.2;84.54144000000001
10789;1.0;Very Good;G;VS2;62.4;58.0;6449;6.31;6.38;3.96;159.420888
10790;1.5;Fair;E;SI2;69.6;62.0;7560;6.88;6.79;4.76;222.364352
10791;0.9;Good;J;SI1;63.2;60.0;2729;6.09;6.12;3.86;143.865288
10792;1.0;Premium;E;SI1;60.5;59.0;5396;6.45;6.4;3.89;160.57920000000001
10793;0.8;Very Good;F;SI2;61.5;56.0;2652;5.93;5.98;3.66;129.788724
10794;2.0;Good;I;VS1;58.8;65.0;15708;8.03;8.1;4.74;308.30382
10795;1.04;Ideal;H;SI2;60.3;56.0;4193;6.61;6.58;3.98;173.105324
10796;1.23;Ideal;H;I1;61.9;61.0;3905;6.85;6.79;4.22;196.27853
10797;0.9;Good;E;SI1;63.9;55.0;4463;6.08;6.13;3.9;145.35456
10798;1.27;Ideal;G;VS1;60.9;57.0;8543;7.02;6.97;4.26;208.43924399999997
10799;2.0;Very Good;H;SI1;60.1;61.0;15840;8.1;8.13;4.88;321.36264000000006
10800;0.58;Ideal;F;VVS2;61.9;56.0;2401;5.38;5.35;3.32;95.55955999999999
10801;1.23;Premium;I;VS2;61.1;60.0;6206;6.95;6.89;4.23;202.55566500000003
10802;0.9;Very Good;F;SI1;63.2;61.0;3881;6.13;6.09;3.86;144.100362
10803;0.4;Good;D;SI1;63.6;57.0;720;4.67;4.7;2.98;65.40802000000001
10804;0.32;Ideal;E;VVS1;62.3;54.0;917;4.37;4.4;2.73;52.49244
10805;0.3;Ideal;F;SI1;60.2;56.0;475;4.36;4.41;2.64;50.76086400000001
10806;0.3;Premium;J;VS1;62.4;58.0;506;4.3;4.26;2.67;48.90905999999999
10807;1.26;Premium;J;SI1;61.7;58.0;5207;6.99;6.91;4.29;207.21086100000002
10808;0.28;Very Good;E;VVS2;60.0;56.0;642;4.26;4.28;2.56;46.675968000000005
10809;1.6;Premium;E;SI1;61.2;58.0;9229;7.59;7.5;4.62;262.9935
10810;0.36;Ideal;F;VS1;62.5;57.0;789;4.53;4.56;2.84;58.665312
10811;1.01;Very Good;H;SI1;62.6;61.0;4622;6.36;6.39;3.99;162.15519600000002
10812;0.38;Ideal;E;VS1;62.6;53.5;979;4.61;4.66;2.9;62.29954
10813;0.32;Very Good;F;VVS1;59.4;59.0;886;4.45;4.47;2.65;52.712475
10814;0.5;Good;D;SI1;57.2;60.0;1190;5.25;5.2;2.99;81.62700000000001
10815;0.58;Ideal;H;VS2;61.2;56.0;1755;5.41;5.39;3.3;96.22766999999999
10816;0.91;Good;H;SI1;63.9;60.0;3485;6.08;6.13;3.9;145.35456
10817;2.01;Premium;J;SI2;60.8;57.2;13133;8.13;8.15;4.95;327.984525
10818;0.9;Very Good;H;VS2;63.7;61.0;4129;6.04;6.07;3.86;141.51840800000002
10819;0.7;Ideal;E;SI1;62.4;55.0;2703;5.66;5.69;3.54;114.00711600000001
10820;0.3;Ideal;D;VS2;61.4;58.0;670;4.29;4.31;2.64;48.813336
10821;1.62;Premium;F;SI1;63.0;58.0;13298;7.47;7.43;4.69;260.304849
10822;0.71;Very Good;E;VVS2;60.3;52.0;3760;5.8;5.87;3.52;119.84192
10823;1.39;Premium;H;SI1;62.7;58.0;7986;7.15;7.08;4.46;225.77412
10824;1.09;Premium;G;IF;61.3;58.0;10065;6.64;6.6;4.06;177.92543999999998
10825;2.03;Premium;G;VS2;60.9;59.0;18166;8.17;8.14;4.97;330.52388599999995
10826;1.31;Premium;I;VS2;61.9;59.0;6323;7.02;6.98;4.33;212.168268
10827;0.31;Ideal;D;VVS2;61.9;56.0;779;4.32;4.37;2.69;50.78289600000001
10828;1.54;Very Good;G;VS1;60.7;60.0;13284;7.43;7.55;4.55;255.23907499999999
10829;0.59;Very Good;F;SI1;61.7;57.0;1412;5.39;5.43;3.34;97.75411799999999
10830;0.32;Ideal;E;IF;61.4;56.0;1359;4.38;4.42;2.7;52.270920000000004
10831;1.0;Premium;E;SI1;62.8;59.0;4805;6.4;6.3;3.99;160.8768
10832;2.16;Very Good;I;VS2;58.6;60.0;16080;8.48;8.55;4.99;361.79496000000006
10833;1.42;Very Good;E;SI1;61.1;62.0;9278;7.17;7.2;4.39;226.62936
10834;1.7;Premium;G;SI2;62.5;58.0;10574;7.53;7.6;4.73;270.68844
10835;1.07;Premium;F;SI1;62.5;59.0;5436;6.57;6.52;4.09;175.200876
10836;0.35;Ideal;H;VVS2;63.0;55.0;906;4.5;4.48;2.83;57.05280000000001
10837;0.32;Ideal;I;VS2;60.3;56.0;576;4.45;4.44;2.68;52.95144000000001
10838;0.52;Ideal;H;SI1;61.9;56.0;1098;5.16;5.22;3.2;86.19264
10839;0.9;Fair;H;SI1;61.4;61.0;3282;6.08;6.14;3.75;139.992
10840;1.01;Good;G;VS2;62.7;60.0;6126;6.27;6.32;3.95;156.52428
10841;0.31;Very Good;F;IF;61.9;54.0;914;4.36;4.39;2.71;51.870484
10842;1.21;Premium;F;VS1;61.1;57.0;9846;6.93;6.89;4.22;201.49529399999997
10843;0.26;Very Good;F;VS1;61.9;57.0;499;4.11;4.14;2.55;43.389269999999996
10844;0.34;Very Good;F;SI1;60.9;60.0;551;4.52;4.55;2.76;56.762159999999994
10845;0.27;Premium;H;VVS2;60.7;59.0;486;4.19;4.21;2.55;44.981745
10846;1.5;Very Good;F;VS1;61.6;58.0;15022;7.35;7.43;4.55;248.47777499999998
10847;0.7;Good;E;SI2;62.2;63.0;1860;5.65;5.6;3.5;110.74000000000001
10848;0.43;Very Good;E;I1;58.4;62.0;555;4.94;5.0;2.9;71.63000000000001
10849;0.3;Ideal;H;VS2;62.0;57.0;457;4.27;4.31;2.66;48.953841999999995
10850;2.02;Premium;H;SI1;61.1;60.0;17489;8.19;8.11;4.98;330.776082
10851;0.75;Good;D;SI1;63.6;58.0;3078;5.65;5.77;3.63;118.33981499999999
10852;1.28;Ideal;J;SI1;61.2;57.0;4967;7.02;6.96;4.28;209.11737599999998
10853;0.41;Very Good;E;VVS1;62.9;58.0;1249;4.72;4.75;2.98;66.8116
10854;1.52;Premium;I;I1;61.2;58.0;3541;7.43;7.35;4.52;246.83945999999995
10855;0.32;Premium;I;VVS2;62.1;59.0;720;4.38;4.35;2.71;51.63362999999999
10856;1.29;Very Good;I;VS2;61.8;58.0;6537;6.94;6.98;4.3;208.29716000000002
10857;0.74;Very Good;E;VS1;62.1;53.4;3872;5.8;5.82;3.61;121.85916
10858;0.76;Premium;E;VS2;63.0;59.0;3107;5.79;5.76;3.64;121.39545600000001
10859;0.24;Very Good;E;VS2;60.8;56.0;362;4.02;4.04;2.45;39.78996
10860;0.51;Ideal;E;VS1;61.4;56.0;2233;5.14;5.16;3.16;83.810784
10861;0.4;Very Good;E;VS2;63.0;59.0;693;4.66;4.68;2.94;64.11787199999999
10862;0.35;Premium;D;SI1;62.1;58.0;644;4.51;4.54;2.81;57.535874
10863;1.18;Premium;I;VS1;62.1;58.0;5921;6.76;6.7;4.18;189.32056
10864;1.02;Premium;E;VS2;60.3;60.0;6032;6.58;6.48;3.94;167.99529600000002
10865;2.01;Premium;I;VS2;62.7;58.0;16778;7.98;7.94;4.99;316.172388
10866;1.2;Premium;H;SI1;62.2;59.0;5822;6.79;6.71;4.2;191.35577999999998
10867;0.31;Ideal;I;IF;61.3;57.0;837;4.4;4.34;2.68;51.17728
10868;1.2;Very Good;F;VS2;62.6;56.0;8334;6.73;6.78;4.23;193.01236200000002
10869;1.52;Ideal;E;SI1;62.2;53.0;11642;7.38;7.31;4.57;246.54144599999998
10870;0.31;Very Good;G;VS2;59.0;60.0;544;4.37;4.41;2.59;49.913703000000005
10871;2.06;Premium;E;SI2;58.8;58.0;14634;8.42;8.35;4.93;346.61350999999996
10872;0.57;Very Good;I;VS2;62.2;55.0;1267;5.33;5.34;3.32;94.49450399999999
10873;0.52;Very Good;G;VVS1;61.9;61.0;2045;5.11;5.13;3.17;83.099331
10874;0.56;Very Good;F;VS1;62.0;59.0;1712;5.3;5.34;3.3;93.39659999999999
10875;0.39;Ideal;D;VVS2;61.8;57.0;1232;4.67;4.71;2.9;63.78753
10876;0.71;Premium;G;SI2;62.0;55.0;2362;5.77;5.71;3.56;117.290252
10877;0.42;Very Good;E;VS2;62.8;59.0;958;4.76;4.8;3.0;68.544
10878;0.32;Ideal;H;VS2;62.0;55.0;505;4.38;4.4;2.72;52.41984000000001
10879;0.59;Premium;J;VS2;62.7;61.0;1055;5.35;5.28;3.33;94.06584000000001
10880;0.63;Ideal;I;SI1;62.0;57.0;1372;5.47;5.49;3.4;102.10302
10881;0.76;Premium;F;SI2;62.3;55.0;2425;5.88;5.84;3.65;125.33807999999999
10882;1.22;Very Good;G;IF;62.0;59.0;8793;6.8;6.85;4.23;197.0334
10883;0.31;Very Good;G;VS2;60.9;57.0;559;4.37;4.39;2.67;51.222081
10884;1.02;Fair;D;SI2;65.5;60.0;4381;6.27;6.24;4.1;160.41168
10885;1.53;Premium;H;VS2;60.1;58.0;11087;7.6;7.57;4.71;270.97571999999997
10886;0.25;Very Good;H;VVS1;61.6;56.0;467;4.07;4.1;2.51;41.88437
10887;0.42;Premium;F;SI1;60.8;58.0;773;4.83;4.87;2.95;69.390195
10888;0.62;Ideal;H;VVS1;61.1;56.0;2197;5.48;5.52;3.36;101.638656
10889;0.41;Very Good;E;SI2;62.8;57.0;683;4.7;4.73;2.96;65.80376000000001
10890;0.72;Premium;F;VS1;62.4;58.0;2802;5.83;5.7;3.6;119.6316
10891;0.3;Ideal;G;VVS2;61.5;55.0;878;4.32;4.3;2.65;49.2264
10892;0.43;Ideal;G;VVS1;61.5;56.0;1118;4.87;4.89;3.0;71.4429
10893;0.41;Premium;D;VS1;60.6;59.0;1082;4.84;4.8;2.92;67.83744
10894;0.57;Ideal;D;VS2;62.4;57.0;1963;5.32;5.26;3.3;92.34456
10895;0.33;Premium;G;VS1;61.6;58.0;854;4.44;4.39;2.72;53.01715200000001
10896;1.29;Ideal;F;SI2;61.9;55.0;7126;6.95;7.01;4.32;210.46824
10897;0.9;Ideal;D;VS2;61.5;56.0;4128;6.25;6.2;3.83;148.4125
10898;0.4;Very Good;E;SI1;63.2;56.0;882;4.69;4.65;2.95;64.335075
10899;0.31;Very Good;G;SI1;61.7;55.0;462;4.37;4.38;2.7;51.67962
10900;1.52;Premium;G;VVS2;62.9;59.0;15404;7.29;7.25;4.57;241.53592500000002
10901;0.72;Ideal;J;SI1;62.3;56.0;1864;5.75;5.78;3.59;119.31365
10902;0.76;Ideal;E;SI1;62.5;57.0;3033;5.8;5.82;3.63;122.53428
10903;1.51;Ideal;G;VS2;62.1;55.0;14482;7.38;7.33;4.56;246.67502399999998
10904;1.21;Ideal;G;VS2;62.0;56.0;7806;6.87;6.77;4.23;196.736877
10905;0.31;Ideal;I;SI1;62.2;56.0;418;4.34;4.37;2.71;51.397318000000006
10906;0.52;Premium;F;SI1;59.5;59.0;1338;5.31;5.24;3.14;87.368616
10907;0.65;Ideal;J;SI1;61.9;54.0;1214;5.6;5.62;3.47;109.20784
10908;1.55;Very Good;E;SI1;60.1;58.0;11764;7.5;7.55;4.52;255.94499999999996
10909;1.01;Very Good;G;VS1;63.1;57.0;6936;6.32;6.39;4.01;161.94304799999998
10910;0.91;Ideal;E;SI1;61.9;55.0;5458;6.21;6.23;3.85;148.94995500000002
10911;0.7;Premium;H;VS1;62.8;60.0;2367;5.61;5.56;3.51;109.482516
10912;0.55;Ideal;D;SI1;60.9;56.0;2018;5.31;5.34;3.24;91.871496
10913;0.3;Ideal;E;VS2;61.3;57.0;658;4.29;4.33;2.64;49.039848000000006
10914;0.4;Ideal;F;VVS2;62.9;55.0;1039;4.75;4.72;2.98;66.8116
10915;1.01;Very Good;D;SI1;62.6;56.0;5731;6.36;6.39;3.99;162.15519600000002
10916;0.55;Ideal;E;VS2;60.3;57.0;1715;5.3;5.28;3.19;89.26896
10917;0.33;Ideal;D;VS1;61.3;55.0;1006;4.46;4.48;2.74;54.74739200000001
10918;2.01;Ideal;G;SI1;62.2;56.0;18741;8.02;7.97;4.97;317.67941799999994
10919;2.22;Premium;I;SI1;59.9;59.0;18432;8.46;8.41;5.05;359.30043
10920;1.1;Premium;D;SI2;61.5;60.0;5088;6.64;6.58;4.06;177.38627199999996
10921;0.32;Premium;F;VS2;61.4;60.0;828;4.42;4.38;2.7;52.270920000000004
10922;1.11;Ideal;I;SI1;62.4;55.0;4273;6.6;6.64;4.13;180.99311999999998
10923;2.51;Premium;J;SI2;59.3;58.0;16278;8.83;8.87;5.25;411.19102499999997
10924;0.31;Premium;G;VS2;61.7;59.0;544;4.31;4.34;2.67;49.943417999999994
10925;1.52;Very Good;I;SI1;62.8;62.0;9129;7.23;7.29;4.56;240.342552
10926;0.41;Ideal;E;VS2;61.6;55.0;935;4.75;4.79;2.94;66.89235000000001
10927;0.7;Ideal;D;VS1;61.1;57.0;3278;5.73;5.75;3.51;115.64572500000001
10928;0.7;Very Good;F;SI1;60.3;57.0;2343;5.73;5.77;3.47;114.72548700000002
10929;0.72;Premium;H;SI1;61.5;56.0;2398;5.8;5.77;3.56;119.13895999999998
10930;0.9;Very Good;I;SI2;63.5;56.0;2826;6.17;6.07;3.88;145.31337200000002
10931;0.33;Ideal;H;VS2;60.7;57.0;668;4.5;4.46;2.72;54.5904
10932;1.12;Ideal;G;SI2;61.3;55.0;4990;6.74;6.7;4.12;186.05096
10933;0.9;Good;G;I1;63.6;61.0;2344;6.07;6.03;3.85;140.918085
10934;0.71;Premium;D;VS2;61.2;59.0;2824;5.74;5.69;3.5;114.31210000000002
10935;1.24;Ideal;F;SI2;61.4;58.0;6503;6.85;6.9;4.22;199.45829999999998
10936;0.52;Ideal;G;VVS2;61.4;57.0;1847;5.17;5.19;3.18;85.32671400000001
10937;1.53;Very Good;H;SI1;61.3;56.0;10446;7.42;7.44;4.56;251.733888
10938;0.8;Very Good;H;SI2;57.0;63.0;2487;6.09;6.18;3.5;131.7267
10939;1.08;Very Good;G;SI2;63.2;57.0;4318;6.54;6.5;4.12;175.1412
10940;1.57;Very Good;D;SI1;58.9;58.0;12697;7.57;7.63;4.48;258.76076800000004
10941;0.72;Ideal;F;SI2;61.8;57.0;2456;5.75;5.78;3.56;118.3166
10942;2.0;Premium;I;SI2;62.3;57.0;10528;8.12;8.05;5.03;328.79098
10943;1.0;Premium;E;SI2;62.7;58.0;4496;6.34;6.41;4.0;162.5576
10944;0.7;Premium;E;VVS2;62.7;53.0;3007;5.65;5.61;3.53;111.88864500000001
10945;0.76;Ideal;I;SI1;62.3;57.0;2474;5.81;5.87;3.64;124.141108
10946;0.3;Very Good;I;VVS2;61.9;61.0;526;4.28;4.32;2.66;49.182336000000014
10947;1.15;Premium;E;SI2;62.3;58.0;4688;6.73;6.67;4.18;187.63643799999997
10948;1.2;Good;I;VS1;64.8;58.0;5600;6.6;6.65;4.29;188.28810000000001
10949;1.09;Ideal;F;SI1;62.0;56.0;5816;6.59;6.61;4.09;178.159991
10950;1.5;Good;D;SI2;63.4;59.0;8108;7.2;7.25;4.58;239.07600000000002
10951;0.46;Very Good;E;VS1;62.9;52.0;1257;4.9;4.95;3.1;75.19050000000001
10952;2.01;Ideal;E;SI2;62.2;57.0;17688;8.04;8.09;5.02;326.518872
10953;0.59;Premium;I;IF;61.2;58.0;1866;5.38;5.41;3.3;96.04914
10954;1.27;Very Good;I;SI2;59.7;57.0;5371;6.99;7.04;4.19;206.18822400000002
10955;0.51;Premium;D;VS2;60.9;58.0;1716;5.18;5.14;3.14;83.60312799999998
10956;0.31;Ideal;G;VS2;59.6;57.0;544;4.4;4.43;2.63;51.26396
10957;0.71;Ideal;H;VS1;62.2;57.0;2559;5.66;5.73;3.54;114.80857200000001
10958;1.12;Ideal;H;VS1;60.9;57.0;7616;6.71;6.73;4.09;184.697447
10959;0.7;Very Good;E;SI2;61.1;62.0;2230;5.68;5.72;3.48;113.06380799999998
10960;0.79;Good;I;SI1;63.9;55.0;2095;5.85;5.8;3.72;126.2196
10961;0.87;Ideal;H;SI1;62.5;57.0;2923;6.13;6.06;3.81;141.533118
10962;1.0;Premium;E;SI2;60.4;60.0;4648;6.49;6.46;3.91;163.92831400000003
10963;0.32;Premium;G;VS2;60.7;58.0;561;4.38;4.42;2.67;51.690132
10964;0.91;Very Good;F;SI1;62.3;58.0;4785;6.14;6.19;3.84;145.94534399999998
10965;0.57;Ideal;I;VVS1;61.7;56.0;1728;5.35;5.31;3.29;93.46396499999999
10966;1.31;Ideal;F;VS1;62.1;55.0;12825;6.97;7.0;4.34;211.74859999999998
10967;0.54;Ideal;G;IF;62.3;56.0;2271;5.19;5.21;3.24;87.60927600000001
10968;1.01;Very Good;F;VS1;63.2;58.0;7107;6.32;6.34;4.0;160.2752
10969;1.12;Very Good;F;VS2;62.0;58.0;6925;6.63;6.69;4.13;183.184911
10970;1.21;Ideal;H;VS2;62.2;55.0;5882;6.84;6.79;4.24;196.920864
10971;0.55;Premium;G;SI2;60.3;58.0;1186;5.35;5.33;3.22;91.81991000000001
10972;0.41;Premium;F;VVS2;60.1;58.0;1115;4.79;4.83;2.89;66.862173
10973;0.7;Ideal;F;SI1;62.3;57.0;2596;5.68;5.64;3.53;113.08425599999998
10974;0.31;Ideal;G;VVS2;60.8;56.0;687;4.41;4.44;2.69;52.671276
10975;1.01;Very Good;D;SI2;61.4;60.0;4564;6.33;6.38;3.9;157.50305999999998
10976;1.5;Fair;F;VVS2;64.7;53.0;16364;7.22;7.15;4.65;240.04695
10977;1.51;Very Good;G;VS2;59.3;58.0;11161;7.32;7.49;4.39;240.689652
10978;0.23;Very Good;E;VVS2;61.5;59.0;530;3.95;3.98;2.44;38.35924
10979;0.32;Premium;H;VS1;60.5;59.0;720;4.42;4.41;2.67;52.044174
10980;0.3;Ideal;G;VVS1;62.6;55.0;753;4.27;4.32;2.69;49.620816
10981;0.5;Ideal;H;VS2;62.3;58.0;1400;5.12;5.05;3.17;81.96351999999999
10982;0.4;Very Good;F;SI1;63.3;57.0;798;4.68;4.73;2.98;65.96647200000001
10983;1.07;Premium;H;SI1;60.7;60.0;4764;6.64;6.61;4.02;176.439408
10984;0.53;Very Good;E;SI1;63.6;57.0;1432;5.12;5.16;3.27;86.390784
10985;0.51;Ideal;I;VS1;62.0;57.0;1376;5.1;5.13;3.17;82.93670999999999
10986;0.46;Very Good;E;SI1;59.3;63.0;1032;5.09;5.02;3.0;76.65539999999999
10987;0.71;Ideal;F;SI2;60.7;57.0;2291;5.78;5.81;3.52;118.207936
10988;0.33;Ideal;F;VS2;62.1;55.0;666;4.45;4.47;2.77;55.099455
10989;2.08;Premium;I;SI1;60.3;59.0;15065;8.26;8.22;4.97;337.44908399999997
10990;1.0;Fair;F;VS1;65.3;56.0;5833;6.28;6.25;4.09;160.5325
10991;1.07;Ideal;G;VVS1;60.9;56.0;8895;6.6;6.67;4.04;177.84888
10992;0.72;Ideal;D;SI1;62.2;56.0;2804;5.74;5.77;3.58;118.568884
10993;0.59;Ideal;E;SI1;62.2;55.0;1561;5.39;5.42;3.36;98.158368
10994;0.71;Premium;E;SI1;58.9;61.0;2329;5.79;5.75;3.4;113.19449999999999
10995;0.71;Premium;G;SI1;60.4;59.0;2352;5.81;5.75;3.49;116.592175
10996;0.4;Premium;F;VVS1;61.9;57.0;1323;4.71;4.69;2.91;64.281609
10997;1.5;Fair;J;VS2;64.5;59.0;5846;7.2;7.07;4.6;234.1584
10998;1.02;Premium;H;SI1;61.9;61.0;4558;6.42;6.34;3.95;160.77606
10999;1.01;Very Good;F;SI1;62.8;60.0;5010;6.32;6.38;3.99;160.88318400000003
11000;0.33;Ideal;F;IF;62.2;53.0;957;4.46;4.48;2.78;55.546624
11001;1.53;Ideal;E;SI2;61.0;55.0;10698;7.44;7.5;4.55;253.89000000000001
11002;0.83;Ideal;G;SI1;61.8;55.0;3171;6.05;6.09;3.75;138.16687499999998
11003;0.51;Very Good;G;VVS2;63.5;56.0;1842;5.11;5.07;3.23;83.681871
11004;0.4;Premium;D;SI1;60.9;60.0;884;4.78;4.74;2.9;65.70588000000001
11005;0.54;Ideal;G;VVS1;61.3;56.0;1982;5.23;5.28;3.22;88.91836800000002
11006;0.38;Ideal;G;SI1;61.5;55.0;695;4.66;4.68;2.87;62.591255999999994
11007;0.71;Premium;G;VS1;60.9;58.0;2694;5.77;5.73;3.5;115.71735000000001
11008;0.4;Ideal;F;VS2;62.0;59.0;1059;4.77;4.71;2.95;66.276765
11009;0.35;Premium;E;SI1;60.8;60.0;614;4.51;4.57;2.76;56.885532
11010;1.2;Ideal;G;VVS1;61.2;56.0;9570;6.89;6.86;4.21;198.987334
11011;1.01;Premium;G;SI2;61.8;58.0;4038;6.39;6.36;3.94;160.123176
11012;0.65;Premium;E;SI2;62.6;59.0;1827;5.54;5.49;3.45;104.93037000000001
11013;0.71;Premium;F;SI1;62.3;57.0;2458;5.73;5.66;3.55;115.13289
11014;1.11;Ideal;G;SI1;62.6;57.0;5061;6.64;6.59;4.14;181.15646399999997
11015;0.44;Very Good;H;VVS1;61.0;59.0;986;4.87;4.9;2.98;71.11174000000001
11016;0.7;Very Good;F;VS2;60.5;58.0;2437;5.78;5.83;3.51;118.277874
11017;1.09;Premium;H;SI2;61.7;60.0;4496;6.57;6.59;4.06;175.78297799999999
11018;0.3;Ideal;F;VVS1;62.2;56.0;814;4.28;4.3;2.67;49.13868
11019;0.39;Good;I;VS1;63.1;58.0;737;4.68;4.61;2.93;63.214164000000004
11020;0.33;Ideal;E;VS1;60.6;57.0;781;4.5;4.54;2.74;55.9782
11021;1.74;Ideal;I;SI2;61.6;57.0;8896;7.67;7.74;4.75;281.98755
11022;1.23;Ideal;G;VS1;61.6;57.0;10859;6.84;6.9;4.23;199.63908
11023;0.7;Very Good;G;IF;58.5;60.0;3543;5.83;5.87;3.42;117.039582
11024;1.21;Ideal;E;VS2;61.8;53.0;10556;6.86;6.9;4.25;201.16950000000003
11025;0.52;Ideal;G;VS1;61.2;56.0;1662;5.19;5.22;3.18;86.15192400000001
11026;1.24;Ideal;F;VS1;60.9;54.0;10138;6.98;6.95;4.24;205.68664
11027;0.34;Ideal;G;IF;60.1;57.0;1014;4.54;4.58;2.74;56.973368
11028;0.43;Premium;E;SI2;61.0;60.0;704;4.87;4.94;2.99;71.93282200000002
11029;2.01;Premium;J;SI1;62.3;59.0;12048;8.03;7.97;4.98;318.715518
11030;0.32;Premium;F;VS2;61.7;58.0;645;4.38;4.41;2.71;52.345817999999994
11031;0.7;Very Good;E;VS2;62.7;58.0;2843;5.65;5.67;3.55;113.72602499999999
11032;1.51;Good;J;SI1;62.4;64.0;7162;7.31;7.23;4.54;239.944902
11033;1.23;Ideal;G;VVS1;59.5;57.0;11469;7.0;6.98;4.16;203.2576
11034;0.46;Good;F;SI2;64.0;57.0;787;4.88;4.83;3.11;73.303944
11035;1.0;Good;G;VVS1;58.4;60.0;7467;6.55;6.61;3.84;166.25472000000002
11036;0.54;Ideal;F;VS2;61.3;57.0;1572;5.28;5.25;3.23;89.5356
11037;1.01;Good;E;VS2;63.5;58.0;6666;6.34;6.36;4.03;162.49927200000002
11038;0.39;Premium;G;SI1;61.4;56.0;936;4.75;4.7;2.9;64.74249999999999
11039;0.91;Very Good;F;VS2;62.1;58.0;4917;6.19;6.24;3.86;149.094816
11040;0.31;Ideal;D;VVS2;61.7;54.0;815;4.38;4.43;2.72;52.777248
11041;0.32;Very Good;H;VS1;62.8;55.0;561;4.35;4.41;2.75;52.754625
11042;1.57;Very Good;H;VS2;63.4;56.0;9407;7.46;7.4;4.71;260.01084
11043;1.5;Good;I;SI1;64.2;56.0;7207;7.25;7.14;4.62;239.1543
11044;0.27;Ideal;E;VVS1;62.0;56.0;752;4.19;4.16;2.59;45.144736
11045;1.53;Premium;I;VS1;62.0;57.0;9877;7.39;7.35;4.57;248.226405
11046;0.7;Premium;G;SI2;58.5;60.0;2268;5.85;5.81;3.41;115.90078499999998
11047;0.33;Premium;G;VS2;62.6;58.0;743;4.44;4.41;2.77;54.237708000000005
11048;0.55;Ideal;J;VS2;61.7;54.0;1260;5.34;5.29;3.28;92.655408
11049;0.78;Ideal;D;VS2;61.7;57.0;3595;5.87;5.93;3.64;126.70512400000001
11050;0.33;Premium;F;VS2;62.4;57.0;854;4.43;4.39;2.75;53.48117499999999
11051;0.91;Premium;E;SI1;61.9;61.0;3961;6.14;6.11;3.79;142.183366
11052;0.9;Premium;H;VS2;61.2;61.0;4355;6.18;6.08;3.75;140.904
11053;0.74;Very Good;F;VVS2;61.5;55.1;3948;5.82;5.85;3.59;122.22872999999998
11054;0.32;Premium;H;VVS1;61.5;59.0;936;4.41;4.37;2.7;52.03359000000001
11055;1.5;Good;H;VS1;63.8;61.0;9878;7.17;7.12;4.56;232.78982399999998
11056;0.42;Premium;G;VVS2;60.4;59.0;1103;4.82;4.78;2.9;66.81484
11057;1.21;Premium;I;SI1;61.0;56.0;4404;6.91;6.87;4.2;199.38114
11058;1.2;Ideal;D;SI2;61.0;60.0;6636;6.81;6.84;4.16;193.774464
11059;0.33;Ideal;E;VS2;61.1;56.0;928;4.48;4.45;2.73;54.42528000000001
11060;1.7;Very Good;H;VS2;62.8;58.0;12874;7.52;7.57;4.74;269.831136
